42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: DaysPartController.getDaysPart();
16:31:51.1 (1226574)|USER_INFO|[EXTERNAL]|0051r000007nKPL|assh4884@cunning-goat-277018.com|Greenwich Mean Time|GMT+01:00
16:31:51.1 (1253032)|EXECUTION_STARTED
16:31:51.1 (1258312)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
16:31:51.1 (1521535)|HEAP_ALLOCATE|[72]|Bytes:3
16:31:51.1 (1577263)|HEAP_ALLOCATE|[77]|Bytes:152
16:31:51.1 (1600855)|HEAP_ALLOCATE|[342]|Bytes:408
16:31:51.1 (1622035)|HEAP_ALLOCATE|[355]|Bytes:408
16:31:51.1 (1642090)|HEAP_ALLOCATE|[467]|Bytes:48
16:31:51.1 (1678308)|HEAP_ALLOCATE|[139]|Bytes:6
16:31:51.1 (1703183)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:31:51.1 (1804199)|STATEMENT_EXECUTE|[1]
16:31:51.1 (1807733)|STATEMENT_EXECUTE|[1]
16:31:51.1 (1872193)|HEAP_ALLOCATE|[50]|Bytes:5
16:31:51.1 (1903896)|HEAP_ALLOCATE|[56]|Bytes:5
16:31:51.1 (1914703)|HEAP_ALLOCATE|[64]|Bytes:7
16:31:51.1 (1945923)|SYSTEM_MODE_ENTER|false
16:31:51.1 (1967942)|HEAP_ALLOCATE|[1]|Bytes:5
16:31:51.1 (23093415)|HEAP_ALLOCATE|[1]|Bytes:4
16:31:51.1 (23119150)|HEAP_ALLOCATE|[1]|Bytes:2
16:31:51.1 (23148371)|METHOD_ENTRY|[1]|01p1r000007pMQE|DaysPartController.DaysPartController()
16:31:51.1 (23159560)|STATEMENT_EXECUTE|[1]
16:31:51.1 (23167483)|STATEMENT_EXECUTE|[1]
16:31:51.1 (23191879)|HEAP_ALLOCATE|[1]|Bytes:5
16:31:51.1 (23213799)|METHOD_EXIT|[1]|DaysPartController
16:31:51.1 (23257357)|METHOD_ENTRY|[1]|01p1r000007pMQE|DaysPartController.getDaysPart()
16:31:51.1 (23397527)|HEAP_ALLOCATE|[5]|Bytes:5
16:31:51.1 (23405523)|STATEMENT_EXECUTE|[4]
16:31:51.1 (23408413)|STATEMENT_EXECUTE|[5]
16:31:51.1 (24365183)|HEAP_ALLOCATE|[5]|Bytes:16
16:31:51.1 (24411256)|VARIABLE_SCOPE_BEGIN|[5]|daysPart|Map<String,Days_part__c>|true|false
